Match number,blueBans,redBans
182,"['Nidalee', 'Shen', 'Alistar']","['Kalista', 'Ryze', 'RekSai']"
183,"['Karma', 'Nidalee', 'Sivir']","['Ryze', 'Kalista', 'Azir']"
184,"['Rumble', 'Thresh', 'Kalista']","['Ryze', 'Shen', 'Azir']"
185,"['Olaf', 'Gragas', 'Alistar']","['Ryze', 'Azir', 'Annie']"
186,"['Morgana', 'Gragas', 'Zed']","['Vi', 'Kalista', 'Lulu']"
187,"['TwistedFate', 'Vi', 'Kalista']","['Morgana', 'Urgot', 'Zed']"
188,"['Morgana', 'Urgot', 'Lulu']","['Kalista', 'Vi', 'TwistedFate']"
189,"['Nunu', 'Sejuani', 'Urgot']","['Leona', 'Rumble', 'TwistedFate']"
190,"['TwistedFate', 'Yasuo', 'LeeSin']","['Nunu', 'Sejuani', 'Urgot']"
191,"['TwistedFate', 'Yasuo', 'LeeSin']","['Urgot', 'Fizz', 'Rumble']"
192,"['TwistedFate', 'LeeSin', 'Hecarim']","['Urgot', 'Fizz', 'Rumble']"
193,"['Vladimir', 'Lulu', 'Urgot']","['Nidalee', 'Kennen', 'Rumble']"
194,"['Nidalee', 'Kennen', 'Rumble']","['Lulu', 'Vladimir', 'Urgot']"
195,"['Vladimir', 'Urgot', 'Azir']","['Nidalee', 'Kennen', 'Rumble']"
196,"['Nidalee', 'Kennen', 'Rumble']","['Vladimir', 'Azir', 'Hecarim']"
197,"['Vladimir', 'Azir', 'Urgot']","['Nidalee', 'Rumble', 'Corki']"
198,"['Rumble', 'Morgana', 'TwistedFate']","['Maokai', 'Sejuani', 'Hecarim']"
199,"['Sejuani', 'Cassiopeia', 'Sivir']","['Rumble', 'Morgana', 'Hecarim']"
200,"['Sejuani', 'Cassiopeia', 'Lulu']","['Rumble', 'Morgana', 'Hecarim']"
201,"['Sejuani', 'Maokai', 'Thresh']","['Rumble', 'Morgana', 'Hecarim']"
202,"['Maokai', 'Sion', 'Urgot']","['Rumble', 'Hecarim', 'Morgana']"
203,"['Orianna', 'Gnar', 'LeeSin']","['Gragas', 'Hecarim', 'Urgot']"
204,"['Orianna', 'Gnar', 'LeeSin']","['Urgot', 'Sejuani', 'Rumble']"
205,"['Orianna', 'LeeSin', 'Gnar']","['Rumble', 'Urgot', 'Sejuani']"
206,"['Sion', 'Maokai', 'Urgot']","['Orianna', 'Gragas', 'Rumble']"
207,"['Rumble', 'Vladimir', 'Nautilus']","['Thresh', 'Hecarim', 'Janna']"
208,"['Thresh', 'Janna', 'Urgot']","['Rumble', 'Hecarim', 'Nautilus']"
209,"['Rumble', 'Vladimir', 'Nautilus']","['Thresh', 'Hecarim', 'Janna']"
210,"['Thresh', 'Urgot', 'Gragas']","['Rumble', 'Hecarim', 'Sejuani']"
211,"['Ahri', 'Kalista', 'RekSai']","['Maokai', 'Nidalee', 'LeeSin']"
212,"['Maokai', 'LeeSin', 'Alistar']","['Kalista', 'Ahri', 'TwistedFate']"
